codice;famiglia olfattiva;Sottofamiglia;prezzo basso €./kg.;prezzo medio €./kg.;prezzo top €./kg.;descrizione;materie_prime;colonna1;colonna2;colonna3;colonna4;colonna5
113;Fougere;Fougere Legnoso;50;60;120;Fougere;Lavanda, Geranio, Muschio di Quercia (o Evernyl), Vetiver, Legno di Cedro;Lavanda;geranio;muschio_di_quercia;;vetiver
114;Chypre;Chypre Fruttata;50;60;120;Chypre con note dolci di frutta;Pera, Albicocca, Patchouli, Pesca;pera;albicocca;patchouli;pesca;
115;Chypre;Chypre Cuoiata;70;80;140;Chypre con accenti di pelle;Betulla, Cuoio, Castoreum, Muschio di quercia;betulla;cuoio;castoreum;muschio_di_quercia;
116;Chypre;Chypre Verde;90;100;160;Chypre terroso e fresco;Galbano, Aghi di Pino, Note Erbacee;galbano;aghi_di_pino;note_erbacee;;
117;Chypre;Chypre Legnoso;70;80;140;Chypre;Bergamotto, Patchouli, Vetiver, Legno di Cedro, Muschio di Quercia;bergamotto;patchouli;vetiver;cedro;
118;Chypre;Chypre Floreale;100;110;170;Chypre con cuore dominante fiorito;Iris, Rosa, Labdano, Pathcouli;iris;rosa;labdano;patchouli;
119;Legnosa;Legnosa;30;40;100;Focus su legni secchi o cremosi;Cedro, Sandalo, Vetiver, Guaiaco;cedro;sandalo;vetiver;guaiaco;
120;Legnosa;Legnosa Speziata;50;60;120;Legni con spezie vibranti;Zafferano, Pepe Nero, Cedro;zafferano;pepe_nero;cedro;cardamomo;
121;Legnosa;Legnosa Aromatica;70;80;140;Legni ed erbe di campo;Salvia, Vetiver, Cardamomo, Lavanda;salvia;vetiver;cardamomo;lavanda;
122;Legnosa;Legnosa Orientale Oud;90;120;160;Legni scuri e resine pregiate;Oud, Patchouli, Incenso;oud;patchouli;incenso;;
123;Legnosa;Legnosa Fruttata;50;60;120;Legni con sfaccettature fruttate;Fico, Prugna, Sandalo;fico;prugna;sandalo;;
124;Legnosa;Legnosa Orientale;90;120;160;Legnosa;Oud, Patchouli, Legno di Sandalo, Benzoino, Labdano, Vaniglia;oud;patchouli;sandalo;benzoino;labdano
125;Legnosa;Legnosa Floreale;70;80;140;Legnosa;Legno di Sandalo, Legno di Cedro, Iris (polveroso), Violetta, Gelsomino, Rosa;sandalo;cedro;iris;violetta;gelsomino
126;Ambrata;Ambrata Dolce - Gourmand;50;60;110;Note dolci e commestibili;Vaniglia, Benzoino, Caramello, Ciocclato;vaniglia;benzoino;caramello;mandorla;cioccolato
127;Ambrata;Ambrata Floreale;60;70;120;Calore ambrato e fiori esotici;Ylang Ylang, Ambra, Gelsomino, Orchidea, Tiaré;ylang_ylang;ambra;gelsomino;orchidea;tiaré
128;Ambrata;Ambrata Agrumata;70;80;130;Ambra con apertura frizzante;Ambra, Arancia Dolce, Bergamotto, Labdano;ambra;arancia_dolce;bergamotto;labdano;
129;Ambrata;Ambrata Speziata;80;90;140;Orientale classico ricco di spezie;Cannella, Coriandolo, Ambra Grigia, Zenzero, Cardamomo;cannella;coriandolo;ambra_grigia;;
130;Ambrata;Ambrata Legnosa;90;100;150;Ambra e legni profondi;Patchouli, Sandalo, Opoponax;patchouli;sandalo;opoponax;;
131;Ambrata;Ambrata Marina;60;70;120;Ambra grigia e sentori oceanici;Ambra grigia, Note Salate;ambra_grigia;note_salate;;;
132;Ambrata;Ambrata Cuoiata;100;110;160;Ambra con accenti animali;Cuoio, Storace, Incenso, Tabacco;cuoio;storace;incenso;tabacco;
133;Cuoiata;Cuoiata Floreale;50;60;120;Cuoio morbido ed elegante;Violetta, Cuoio, Iris;violetta;cuoio;iris;;
134;Cuoiata;Cuoiata Tabaccata;60;70;130;Cuoio e foglie di tabacco;Miele, Tabacco, Cuoio, Fava Tonka;miele;tabacco;cuoio;fava_tonka;
135;Cuoiata;Cuoiata Aromatica;30;40;100;Cuoio ed erbe pungenti;Lavanda, Rosmarino, Basilico, Menta, Timo;lavanda;rosmarino;basilico;menta;timo
136;Cuoiata;Cuoiata Speziata;40;50;110;Cuoio e spezie d'Oriente;Anice Stellato, Pepe, Timo, Zenzero;anice_stellato;pepe;timo;zenzero;
137;Cuoiata;Cuoiata Affumicata;60;70;130;Cuoio bruciato e fumo;Catrame di Betulla, Incenso;catrame_di_betulla;incenso;;;
138;Aromatica*;Aromatica Marina;50;60;120;Sentori marini;Calone, Alge Marine, Sale;calone;alghe_marine;sale;;
139;Aromatica*;Aromatica Legnosa;70;80;140;Sentori legnosi;Patchouli, Pino, Eucalipto;patchouli;pino;eucalipto;;
140;Aromatica*;Aromatico Speziato;60;70;130;Aromatica;Basilico, Menta, Lavanda, Pepe Nero, Cardamomo, Zenzero;basilico;menta;lavanda;pepe_nero;cardamomo
141;Aromatica*;Aromatico Fougère;50;60;120;Aromatica;Lavanda, Rosmarino, Salvia, Geranio, Fava Tonka, Muschio di Quercia;lavanda;rosmarino;salvia;geranio;fava_tonka
